|id |name_hotel                    |address_hotel                                    |phone_hotel |email_hotel                          |website_hotel           |category_hotel                          |description_hotel                                                                                                                                                                                                                                                                                                                                                                                                                                          |punctuation_hotel  |link_img|link_maps|link_reserva|created_at|updated_at|
|---|------------------------------|-------------------------------------------------|------------|-------------------------------------|------------------------|----------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------|--------|---------|------------|----------|----------|
|1  |hotel business center popayán |cl. 9 nte. #9-49, comuna 1, popayán, cauca       |8368059     |reservas@hbcpop.com                  |@hbcpop                 |hotel, urbano, centro de la ciudad      |este hotel ofrece comodidades para viajeros de negocios y se encuentra en el corazón de la ciudad                                                                                                                                                                                                                                                                                                                                                          |4,7 de 5 estrellas |        |         |            |          |          |
|2  |hotel san martin popayan      |cra. 9 #18n-40, popayán, cauca                   |3183436673  |                                     |hotelsanmartinpopayan.co|hotel, urbano, ciudad                   |ofrece una auténtica y moderna experiencia en la “ciudad blanca”. estamos ubicados en una de las zonas más exclusivas de la ciudad, a solo 5 minutos del centro comercial campanario, el aeropuerto guillermo león valencia, y el terminal de transportes, y a 10 minutos del sector histórico.                                                                                                                                                            |4,5 de 5 estrellas¶|        |         |            |          |          |
|3  |hotel la plazuela             |calle 5 # 8-13, popayán - colombia               |3117620800  | reservas@hotellaplazuela.com.co     |hotellaplazuela.com.co  |hotel, urbano, centro de la ciudad      |el hotel alberga una pizzería artesanal con 18 años de tradición y reconocimiento local. ofrecen pizzas, lasañas, pastas largas, sopas y bebidas refrescantes.¶conexión wi-fi gratuita y un desayuno americano¶                                                                                                                                                                                                                                            |4,6 de 5 estrellas¶|        |         |            |          |          |
|4  |perugino´s hotel galeria¶     |cra. 11 nte. #1n 87, comuna 1, popayán, cauca    |316 8618454 |peruginoshotelgaleria@gmail.com      |                        |hotel, urbano, centro                   |jardín: el hotel cuenta con un hermoso jardín donde puedes relajarte y disfrutar del entorno.                                                                                                                                                                                                                                                                                                                                                              |4,9 de 5 estrellas |        |         |            |          |          |
|5  |hotel boutique confort suites¶|carrera 8 # 2 n 25, popayán, cauca               |316 463 6948|administracion@confortsuiteshotel.com|confortsuiteshotel.com  |hotel, urbano, centro                   |habitaciones de este hotel boutique son amplias y modernas, decoradas con pinturas de estilo contemporáneo. disponen de suelo de madera, radio, teléfono y minibar bien surtido. algunas habitaciones también cuentan con balcón, bañera de hidromasaje y reproductor de dvd. el elegante bar restaurante, decorado con obras de arte locales, sirve especialidades regionales e internacionales, así como un variado desayuno bufé con productos frescos.¶|4,7 de 5 estrellas |        |         |            |          |          |
|6  |hotel la herreria colonial    |carrera 5 # 2 - 08. centro                       |302 260 5918|                                     |laherreriapopayan.com   |urbano, confort                         |ubicado en una encantadora mansión de estilo colonial en la zona comercial y cultural de popayán, es un lugar acogedor que ofrece una auténtica experiencia colonial en la ciudad blanca. aquí encontrarás habitaciones elegantes con conexión wi-fi gratuita y una atención personalizada que hará de tu estadía una experiencia memorable.                                                                                                               |4,3 de 5 estrellas |        |         |            |          |          |
|7  |hotel los portales inn        |cl 5 #10-125, centro, popayán, cauca             |            |                                     |                        |urbano, hotel                           | es un lugar encantador y tranquilo. su proximidad a la plaza central lo convierte en una excelente opción para descansar y explorar la ciudad.¶habitaciones equipadas: las habitaciones cuentan con tv de pantalla plana y canales por cable.¶                                                                                                                                                                                                            |4,5 de 5 estrellas |        |         |            |          |          |
|8  |glamping puracé               |vereda los llanos, a 10 minutos del cc terraplaza|3217310137  |                                     |@glamping_purace        |ecohotel, natural, afuera de la ciudad, |este lugar espectacular se encuentra en una hermosa ladera, rodeado de naturaleza y tranquilidad. es la combinación perfecta de aventura y relajación. el glamping cuenta con 3 domos situados a lo largo de la ladera, a escasos 10 minutos de terraplaza. están completamente equipados con baño, televisión, mirador privado y jacuzzi.                                                                                                                 |estrellas          |        |         |            |          |          |
|9  |glamping forest glamp         |km 4 vía al huila, a 15 minutos del centro.      |3117938109  |                                     |@forest_glampcol        |ecohotel, natural, afuera de la ciudad  |este alojamiento se encuentra en una hermosa finca rodeada de montañas en popayán. ofrece un solo domo con una decoración elegante e impresionantes vistas panorámicas. aquí se cuida hasta el último detalle para que no falte nada.                                                                                                                                                                                                                      |estrellas          |        |         |            |          |          |
|10 |glamping malu                 |vereda calibio                                   |3116693742  |                                     |@maluecohotel           |ecohotel, natural, afuera de la ciudad  |somos un ecohotel que cuenta con 4 cabañas las cuales tienen las mejores vistas a las montañas del cauca, rodeadas de cultivos de aguacate hass, la naturaleza y rio.                                                                                                                                                                                                                                                                                      |estrellas          |        |         |            |          |          |
